"","Country","Region","X2015","X2016","X2017","diff"
"104","Mauritania","Sub-Saharan Africa",4.436,4.201,4.291999817,-0.144000183
"105","South Korea","Eastern Asia",5.984,5.835,5.837999821,-0.146000179
"106","Costa Rica","Latin America and Caribbean",7.226,7.087,7.078999996,-0.147000004
"107","Guinea","Sub-Saharan Africa",3.656,3.607,3.506999969,-0.149000031
"108","United Kingdom","Western Europe",6.867,6.725,6.714000225,-0.152999775
"109","Iraq","Middle East and Northern Africa",4.677,4.575,4.497000217,-0.179999783
"110","Kuwait","Middle East and Northern Africa",6.295,6.239,6.105000019,-0.189999981
"111","Austria","Western Europe",7.2,7.119,7.006000042,-0.193999958
"112","Nigeria","Sub-Saharan Africa",5.268,4.875,5.073999882,-0.194000118
"113","Singapore","Southeastern Asia",6.798,6.739,6.572000027,-0.225999973
"114","Libya","Middle East and Northern Africa",5.754,5.615,5.525000095,-0.228999904999999
"115","Qatar","Middle East and Northern Africa",6.611,6.375,6.375,-0.236
"116","Congo (Kinshasa)","Sub-Saharan Africa",4.517,4.272,4.28000021,-0.23699979
"117","Angola","Sub-Saharan Africa",4.033,3.866,3.795000076,-0.237999924
"118","Bhutan","Southern Asia",5.253,5.196,5.011000156,-0.241999844
"119","Belarus","Central and Eastern Europe",5.813,5.802,5.568999767,-0.244000233
"120","India","Southern Asia",4.565,4.404,4.315000057,-0.249999943000001
"121","United Arab Emirates","Middle East and Northern Africa",6.901,6.573,6.647999763,-0.253000237
"122","Kyrgyzstan","Central and Eastern Europe",5.286,5.185,5.004000187,-0.281999813
"123","Vietnam","Southeastern Asia",5.36,5.061,5.073999882,-0.286000118
"124","Kosovo","Central and Eastern Europe",5.589,5.401,5.278999805,-0.310000195000001
"125","Albania","Central and Eastern Europe",4.959,4.655,4.644000053,-0.314999947
"126","Malawi","Sub-Saharan Africa",4.292,4.156,3.970000029,-0.321999971
"127","Panama","Latin America and Caribbean",6.786,6.701,6.452000141,-0.333999859
"128","Brazil","Latin America and Caribbean",6.983,6.952,6.635000229,-0.347999771
"129","Paraguay","Latin America and Caribbean",5.878,5.538,5.493000031,-0.384999969
"130","Jamaica","Latin America and Caribbean",5.709,5.51,5.31099987,-0.39800013
"131","Sudan","Sub-Saharan Africa",4.55,4.139,4.138999939,-0.411000061
"132","Tanzania","Sub-Saharan Africa",3.781,3.666,3.348999977,-0.432000023
"133","Croatia","Central and Eastern Europe",5.759,5.488,5.293000221,-0.465999779000001
"134","Yemen","Middle East and Northern Africa",4.077,3.724,3.592999935,-0.484000065
"135","Ghana","Sub-Saharan Africa",4.633,4.276,4.119999886,-0.513000114
"136","Botswana","Sub-Saharan Africa",4.332,3.974,3.766000032,-0.565999968
"137","Ukraine","Central and Eastern Europe",4.681,4.324,4.096000195,-0.584999805
"138","Mexico","Latin America and Caribbean",7.187,6.778,6.578000069,-0.608999931
"139","Zambia","Sub-Saharan Africa",5.129,4.795,4.513999939,-0.615000061
"140","Zimbabwe","Sub-Saharan Africa",4.61,4.193,3.875,-0.735
"141","Haiti","Latin America and Caribbean",4.518,4.028,3.602999926,-0.915000074
"142","Liberia","Sub-Saharan Africa",4.571,3.622,3.532999992,-1.038000008
"143","Venezuela","Latin America and Caribbean",6.81,6.084,5.25,-1.56
